Office 365 E3 Corporate,Enterprise Mobility and Security E3,Office 365 E5 Corporate
Exchange Online (Plan 2) Corporate,Azure AD P1,Exchange Online (Plan 2) Corporate
OneDrive for business (Plan 1) Corporate,Microsoft Intune ,OneDrive for business (Plan 1) Corporate
Exchange Online Archiving for Exchange Online Corporate,,Exchange Online Archiving for Exchange Online Corporate
SharePoint (Plan 2) Corporate,,SharePoint (Plan 2) Corporate
Microsoft 365 Apps for enterprise Corporate,,Microsoft 365 Apps for enterprise Corporate
Office 365 Data Loss Prevention Corporate,,Microsoft 365 Phone System Corporate
,,Microsoft 365 Audio Conferencing Corporate
,,Power BI Pro Corporate
,,Microsoft Cloud App Security Corporate
,,Office 365 Advanced Threat Protection (Plan 2) Corporate
,,Microsoft 365 E5 Compliance Corporate
,,Office 365 Data Loss Prevention Corporate
,,Power Apps per user plan Corporate
